infinity;14;4;7;14;17;18;6;6;4;13;14;7;14;4;7;14;17;18;6;6;4;13;14;7
16;infinity;13;3;12;5;5;5;7;11;19;18;6;16;13;3;12;5;5;5;7;11;19;18;6
7;11;infinity;7;6;14;3;3;8;8;18;17;5;7;11;7;6;14;3;3;8;8;18;17;5
11;15;18;infinity;12;9;12;13;11;16;12;16;4;11;15;18;12;9;12;13;11;16;12;16;4
8;7;16;9;infinity;3;16;12;11;4;5;9;3;8;7;16;9;3;16;12;11;4;5;9;3
10;8;7;7;10;infinity;6;13;1;5;6;8;1;10;8;7;7;10;6;13;1;5;6;8;1
6;7;6;5;5;17;infinity;7;14;11;5;3;19;6;7;6;5;5;17;7;14;11;5;3;19
9;8;4;19;3;5;14;infinity;12;15;6;24;22;9;8;4;19;3;5;14;12;15;6;24;22
3;8;8;3;4;4;11;2;infinity;4;15;19;31;3;8;8;3;4;4;11;2;4;15;19;31
9;6;12;6;18;13;14;12;16;infinity;4;32;7;9;6;12;6;18;13;14;12;16;4;32;7
8;10;8;18;17;16;19;7;11;12;infinity;7;24;8;10;8;18;17;16;19;7;11;12;7;24
9;8;6;5;2;19;6;18;9;14;13;infinity;6;9;8;6;5;2;19;6;18;9;14;13;6
17;12;14;16;19;24;28;31;11;12;15;18;infinity;17;12;14;16;19;24;28;31;11;12;15;18
14;14;4;7;14;17;18;6;6;4;13;14;7;infinity;4;7;14;17;18;6;6;4;13;14;7
16;13;13;3;12;5;5;5;7;11;19;18;6;16;infinity;3;12;5;5;5;7;11;19;18;6
7;11;7;7;6;14;3;3;8;8;18;17;5;7;11;infinity;6;14;3;3;8;8;18;17;5
11;15;18;12;12;9;12;13;11;16;12;16;4;11;15;18;infinity;9;12;13;11;16;12;16;4
8;7;16;9;3;3;16;12;11;4;5;9;3;8;7;16;9;infinity;16;12;11;4;5;9;3
10;8;7;7;10;6;6;13;1;5;6;8;1;10;8;7;7;10;infinity;13;1;5;6;8;1
6;7;6;5;5;17;7;7;14;11;5;3;19;6;7;6;5;5;17;infinity;14;11;5;3;19
9;8;4;19;3;5;14;12;12;15;6;24;22;9;8;4;19;3;5;14;infinity;15;6;24;22
3;8;8;3;4;4;11;2;4;4;15;19;31;3;8;8;3;4;4;11;2;infinity;15;19;31
9;6;12;6;18;13;14;12;16;4;4;32;7;9;6;12;6;18;13;14;12;16;infinity;32;7
8;10;8;18;17;16;19;7;11;12;7;7;24;8;10;8;18;17;16;19;7;11;12;infinity;24
9;8;6;5;2;19;6;18;9;14;13;6;6;9;8;6;5;2;19;6;18;9;14;13;infinity
